drug_id,drug_name,generic_names,trade_names,drug_type
PA166238901,17-alpha-dihydroequilenin sulfate,Unknown,Unknown,Drug
PA166238881,17-alpha-dihydroequilin,Unknown,Unknown,Drug
PA166238883,17-alpha-dihydroequilin sulfate,Unknown,Unknown,Drug
PA166238882,17-alpha-estradiol sulfate,Unknown,Unknown,Drug
PA166238921,17-beta-dihydroequilenin sulfate,Unknown,Unknown,Drug
PA166238884,17-beta-dihydroequilin sulfate,Unknown,Unknown,Drug
PA166238961,17-beta-estradiol sulfate,Unknown,Unknown,Drug
PA166428201,1-hydroxytacrine,"""9-amino-1,2,3,4-tetrahydroacridin-1-ol"", ""velnacrine""",Unknown,"Drug, Metabolite"
PA164712302,2-amino-1-phenylethanol derivatives,Unknown,Unknown,Drug Class
PA134967247,2-methoxyestradiol,Unknown,Unknown,"Drug, Biological Intermediate"
PA131887008,"3,4-methylenedioxymethamphetamine","Ecstasy, MDMA",Unknown,Drug
PA165958321,"3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one","""( )-cis-3,5-Dimethyl-2-(3-pyridyl)thiazolidin-4-one hydrochloride"", ""130841-70-2"", ""158511-47-8"", ""3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one"", ""4-Thiazolidinone, 3,5-dimethyl-2-(3-pyridinyl)-, monohydrochloride, cis-(+-)-"", ""AC1L433Y"", ""SM-10661"", ""SM-12502""",Unknown,Drug
PA165858618,3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Unknown,Unknown,Drug
PA451993,3-beta-hydroxy-5-androsten-17-one,"3-beta-hydroxy-5-androsten-17-one, 5-dehydroepiandrosterone, 5-dhea, dha, dhea, prasterone","Fidelin, OVIGYN-D",Drug
PA166123047,3-cyano-7-ethoxycoumarin,Unknown,Unknown,Drug
PA166305281,3-hydroxy darifenacin,"2-[(3S)-1-[2-(3-hydroxy-2,3-dihydro-1-benzofuran-5-yl)ethyl]pyrrolidin-3-yl]-2,2-diphenylacetamide","""UK-148,993"", ""UK-148993""","Drug, Metabolite"
PA164712303,3-oxoandrosten (4) derivatives,Unknown,Unknown,Drug Class
PA166262141,"(3R,5R)-fluvastatin","(E,3R,5R)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoic acid",Unknown,Drug
PA166262142,"(3R,5S)-fluvastatin","""(3R,5S)-7-[3-(4-fluorophenyl)-1-propan-2-yl-2-indolyl]-3,5-dihydroxy-6-heptenoic acid"", ""(E,3R,5S)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoic acid""",Unknown,Drug
PA166122786,"4,6,4'-trimethylangelicin",Unknown,Unknown,Drug
PA166224244,4''-hydroxycannabidiol,"5-(4-hydroxypentyl)-2-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]benzene-1,3-diol",Unknown,Drug
PA151958637,4-methylthioamphetamine,Unknown,Unknown,Drug
PA154081778,4-methylumbelliferone,Unknown,Unknown,Drug
PA164712304,5-androstanon (3) derivatives,Unknown,Unknown,Drug Class
PA166131299,5'-deoxy-5-fluorouridine,"5'dFUR, DFUR, doxifluridine",Unknown,"Drug, Metabolite"
PA151958362,"6,7-dihydroxybergamottin",Unknown,Unknown,Drug
PA130230922,6-o-phosphoryl inosine monophosphate,Unknown,Unknown,Drug
PA152530740,"8-cyclopentyl-1,3-dipropylxanthine",8-cyclopentyl-1,Unknown,Drug
PA448004,abacavir,"ABC, abacavir","Epzicom, Ziagen",Drug
PA164754915,abarelix,abarelix,"Plenaxis, Plenaxis",Drug
PA164747080,abatacept,"CTLA4-Ig, CTLA4-IgG4m, CTLA4Ig, CTLA4IgG4m, RG-1046, RG-2077, RG1046, RG2077, abatacept","Orencia, Orencia",Drug
PA448006,abciximab,"7E3 antibody, ReoPro, abciximab, antiGPIIBIIIa, c7E3",ReoPro,Drug
PA166153471,abemaciclib,Unknown,LY2835219,Drug
PA166116241,abexinostat,Unknown,pci-24781,Drug
PA166123407,abiraterone,Unknown,Zytiga,Drug
PA166338841,abivertinib,"""N-[3-[[2-[3-fluoro-4-(4-methylpiperazin-1-yl)anilino]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]oxy]phenyl]prop-2-enamide"", ""avitinib""",Unknown,Drug
PA166272921,abrocitinib,"N-[3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]cyclobutyl]propane-1-sulfonamide",PF 04965842,Drug
PA166104276,ABT-751,"E7010, N-[2-(4-hydroxyanilino)-3-pyridinyl]-4-methoxybenzenesulfonamide",Unknown,Drug
PA166198581,acalabrutinib,"4-[8-amino-3-[(2S)-1-but-2-ynoylpyrrolidin-2-yl]imidazo[1,5-a]pyrazin-1-yl]-N-pyridin-2-ylbenzamide",Calquence,Drug
PA10344,acamprosate,"3-(Acetylamino)propanesulphonic acid, 3-Acetamido-1-propanesulfonic acid, N-Acetylhomotaurine, acamprosate",Campral,Drug
PA448010,acarbose,Unknown,"Glucobay, Prandase, Precose",Drug
PA166340542,acebilustat,"4-[[(1S,4S)-5-[[4-[4-(1,3-oxazol-2-yl)phenoxy]phenyl]methyl]-2,5-diazabicyclo[2.2.1]heptan-2-yl]methyl]benzoic acid",Unknown,Drug
PA448011,acebutolol,"Acebutolol HCL, Acebutololo, Acetobutolol, acebutolol hydrochloride, dl-Acebutolol","Monitan, Neptal, Prent, Sectral",Drug
PA166049185,aceclofenac,Unknown,Unknown,Drug
PA164712305,ACE inhibitors and calcium channel blockers,Unknown,Unknown,Drug Class
PA164712306,ACE inhibitors and diuretics,Unknown,Unknown,Drug Class
PA164712307,"Ace Inhibitors, Combinations",Unknown,Unknown,Drug Class
PA164712308,"Ace Inhibitors, Plain",Ace Inhibitor,Unknown,Drug Class
PA166049184,acemetacin,Unknown,Unknown,Drug
PA452632,acenocoumarol,"Acenocoumarin, Acenocoumarolum [inn-latin], Nicoumalone, Nicumalon, Nitrophenylacetylethyl-4-hydroxycoumarine, Nitrovarfarian, Nitrowarfarin","Ascumar, Mini-sintrom, Neositron, Sincoumar, Sinkumar, Sinthrom, Sinthrome, Sintrom, Syncoumar, Syncumar, Syntrom, Zotil",Drug
