gene_id,gene_symbol,gene_name,alternate_names,alternate_symbols,vip_status
PA24356,A1BG,alpha-1-B glycoprotein,Unknown,Unknown,Yes
PA165392995,A1BG-AS1,A1BG antisense RNA 1,Unknown,FLJ23569,Yes
PA162375098,A1CF,APOBEC1 complementation factor,Unknown,"ACF, ACF64, ACF65, APOBEC1CF, ASP",Yes
PA24357,A2M,alpha-2-macroglobulin,Unknown,"CPAMD5, FWP007, S863-7",Yes
PA142670460,A2ML1,alpha-2-macroglobulin like 1,alpha-2-macroglobulin-like 1,"CPAMD9, FLJ25179, p170",Yes
PA24358,A2MP1,alpha-2-macroglobulin pseudogene 1,Unknown,Unknown,Yes
PA142670461,A3GALT2,"alpha 1,3-galactosyltransferase 2","iGb3 synthase, isoglobotriaosylceramide synthase","A3GALT2P, IGB3S, IGBS3S",Yes
PA24359,A4GALT,"alpha 1,4-galactosyltransferase (P1PK blood group)","""CD77 synthase"", ""Gb3 synthase"", ""alpha 1,4-galactosyltransferase"", ""alpha 1,4-galactosyltransferase (P blood group)"", ""globotriaosylceramide synthase"", ""lactosylceramide 4-alpha-galactosyltransferase""","A14GALT, Gb3S, P(k), P1",Yes
PA134960042,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",Unknown,alpha4GnT,Yes
PA24361,AAAS,aladin WD repeat nucleoporin,"""Allgrove, triple-A"", ""achalasia, adrenocortical insufficiency, alacrimia"", ""adracalin"", ""aladin""",Unknown,Yes
PA134940696,AACS,acetoacetyl-CoA synthetase,acyl-CoA synthetase family member 1,"ACSF1, FLJ12389, SUR-5",Yes
PA134883395,AACSP1,acetoacetyl-CoA synthetase pseudogene 1,Unknown,Unknown,Yes
PA24363,AADAC,arylacetamide deacetylase,Unknown,"CES5A1, DAC",Yes
PA142670463,AADACL2,arylacetamide deacetylase like 2,arylacetamide deacetylase-like 2,MGC72001,Yes
PA145147526,AADACL3,arylacetamide deacetylase like 3,arylacetamide deacetylase-like 3,OTTHUMG00000001887,Yes
PA145147537,AADACL4,arylacetamide deacetylase like 4,arylacetamide deacetylase-like 4,OTTHUMG00000001889,Yes
PA24364,AADAT,aminoadipate aminotransferase,"L kynurenine/alpha aminoadipate aminotransferase, kynurenine aminotransferase II","KAT2, KATII, KYAT2",Yes
PA165478457,AAGAB,alpha and gamma adaptin binding protein,alpha- and gamma-adaptin binding protein,"FLJ11506, p34",Yes
PA134990616,AAK1,AP2 associated kinase 1,Unknown,"DKFZp686K16132, KIAA1048",Yes
PA144596486,AAMDC,adipogenesis associated Mth938 domain containing,"adipogenesis associated, Mth938 domain containing","C11orf67, CK067, FLJ21035, PTD015",Yes
PA24365,AAMP,angio associated migratory cell protein,"angio-associated, migratory cell protein",Unknown,Yes
PA24366,AANAT,aralkylamine N-acetyltransferase,serotonin N-acetyltransferase,SNAT,Yes
PA25753,AAR2,AAR2 splicing factor,"AAR2 splicing factor homolog, AAR2 splicing factor homolog (S. cerevisiae)","C20orf4, bA234K24.2",Yes
PA164717502,AARD,alanine and arginine rich domain containing protein,Alanine and arginine-rich domain-containing protein,"C8orf85, LOC441376",Yes
PA24367,AARS1,alanyl-tRNA synthetase 1,"""alanine tRNA ligase 1, cytoplasmic"", ""alanyl-tRNA synthetase""","AARS, AlaRS, CMT2N",Yes
PA162375129,AARS2,"alanyl-tRNA synthetase 2, mitochondrial","alanine tRNA ligase 2, mitochondrial","AARSL, KIAA1270, bA444E17.1",Yes
PA142670464,AARSD1,alanyl-tRNA synthetase domain containing 1,Unknown,"AlaXp, MGC2744",Yes
PA162375178,AASDH,aminoadipate-semialdehyde dehydrogenase,"Beta-alanine-activating enzyme, acyl-CoA synthetase family member 4","ACSF4, LYS2, NRPS998",Yes
PA24368,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,"holo ACP synthase, holo-[acyl-carrier-protein] synthase","AASD-PPT, ACPS, CGI-80, LYS5",Yes
PA24369,AASS,aminoadipate-semialdehyde synthase,"""alpha-aminoadipic semialdehyde synthase"", ""lysine ketoglutarate reductase/saccharopine dehydrogenase"", ""saccharopine dehydrogenase (NAD(+), L-glutamate-forming)"", ""saccharopine dehydrogenase (NADP(+), L-lysine-forming)""","LKR/SDH, LKRSDH, LORSDH",Yes
PA128395780,AATF,apoptosis antagonizing transcription factor,Unknown,"BFR2, CHE-1, CHE1, DED",Yes
PA24370,AATK,apoptosis associated tyrosine kinase,"""apoptosis-associated tyrosine kinase"", ""lemur tyrosine kinase 1"", ""protein phosphatase 1, regulatory subunit 77""","AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77",Yes
PA24371,AAVS1,adeno-associated virus integration site 1,Unknown,AAV,Yes
PA24372,ABAT,4-aminobutyrate aminotransferase,"4-aminobutyrate transaminase, GABA transaminase, gamma-aminobutyrate aminotransferase","GABA-T, GABAT",Yes
PA24373,ABCA1,ATP binding cassette subfamily A member 1,"""ATP-binding cassette, sub-family A (ABC1), member 1"", ""Tangier disease""","ABC1, HDLDT1, TGD",Yes
PA24374,ABCA10,ATP binding cassette subfamily A member 10,"ATP-binding cassette, sub-family A (ABC1), member 10",EST698739,Yes
PA24375,ABCA11P,"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene",Unknown,"EST1133530, FLJ14297",Yes
